00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
0000001E 01000100111011011100000010000101 44EDC085 4E89DB81
0000001E 01110110001001000111111011110110 89DB810A CEEC48FD
0000001C 00010011101101110000001000010100 13B70214 4D9DB810
0000001D 00100111011011100000010000101001 276E0429 4E1DB810
0000001E 01001110110111000000100001010010 4EDC0852 4E9DB810
0000001E 01100010010001111110111101011011 9DB810A5 CEC48FDE
0000001D 00111011011100000010000101001011 3B70214B 4E6DC085
0000001E 01110110111000000100001010010111 76E04297 4EEDC085
0000001C 00010010001111110111101011010001 EDC0852F CD91FBD6
0000001D 00100100011111101111010110100001 DB810A5F CE11FBD6
0000001E 01001000111111011110101101000001 B70214BF CE91FBD6
0000001E 01101110000001000010100101111111 6E04297F 4EDC0852
0000001D 00100011111101111010110100000010 DC0852FE CE0FDEB4
0000001E 01000111111011110101101000000100 B810A5FC CE8FDEB4
0000001E 01110000001000010100101111111001 70214BF9 4EE04297
0000001C 00011111101111010110100000001110 E04297F2 CDFDEB40
0000001D 00111111011110101101000000011100 C0852FE4 CE7DEB40
0000001E 01111110111101011010000000110111 810A5FC9 CEFDEB40
00000019 00000010000101001011111110010010 0214BF92 4C052FE4
0000001A 00000100001010010111111100100101 04297F25 4C852FE4
0000001B 00001000010100101111111001001010 0852FE4A 4D052FE4
0000001C 00010000101001011111110010010101 10A5FC95 4D852FE4
0000001D 00100001010010111111100100101010 214BF92A 4E052FE4
0000001E 01000010100101111111001001010101 4297F255 4E852FE4
0000001E 01111010110100000001101101010101 852FE4AB CEF5A036
0000001B 00001010010111111100100101010110 0A5FC956 4D25FC95
0000001C 00010100101111111001001010101101 14BF92AD 4DA5FC95
0000001D 00101001011111110010010101011010 297F255A 4E25FC95
0000001E 01010010111111100100101010110100 52FE4AB4 4EA5FC95
0000001E 01011010000000110110101010010111 A5FC9569 CEB406D5
0000001E 01001011111110010010101011010011 4BF92AD3 4E97F255
0000001E 01101000000011011010101001011001 97F255A7 CED01B54
0000001D 00101111111001001010101101001110 2FE4AB4E 4E3F92AD
0000001E 01011111110010010101011010011100 5FC9569C 4EBF92AD
0000001E 01000000011011010101001011001000 BF92AD38 CE80DAA5
0000001E 01111111001001010101101001110001 7F255A71 4EFE4AB4
00000018 00000001101101010100101100011110 FE4AB4E2 CBDAA58F
00000019 00000011011010101001011000111100 FC9569C4 CC5AA58F
0000001A 00000110110101010010110001110111 F92AD389 CCDAA58E
0000001B 00001101101010100101100011101101 F255A713 CD5AA58E
0000001C 00011011010101001011000111011001 E4AB4E27 CDDAA58E
0000001D 00110110101010010110001110110010 C9569C4E CE5AA58E
0000001E 01101101010100101100011101100100 92AD389C CEDAA58E
0000001D 00100101010110100111000100111000 255A7138 4E1569C4
0000001E 01001010101101001110001001110000 4AB4E270 4E9569C4
0000001E 01101010100101100011101100011111 9569C4E1 CED52C76
0000001D 00101010110100111000100111000011 2AD389C3 4E2B4E27
0000001E 01010101101001110001001110000110 55A71386 4EAB4E27
0000001E 01010100101100011101100011110100 AB4E270C CEA963B1
0000001E 01010110100111000100111000011001 569C4E19 4EAD389C
0000001E 01010010110001110110001111001101 AD389C33 CEA58EC7
0000001E 01011010011100010011100001100110 5A713866 4EB4E270
0000001E 01001011000111011000111100110100 B4E270CC CE963B1E
0000001E 01101001110001001110000110011000 69C4E198 4ED389C3
0000001D 00101100011101100011110011010000 D389C330 CE31D8F3
0000001E 01011000111011000111100110011111 A7138661 CEB1D8F3
0000001E 01001110001001110000110011000010 4E270CC2 4E9C4E19
0000001E 01100011101100011110011001111100 9C4E1984 CEC763CC
0000001D 00111000100111000011001100001001 389C3309 4E6270CC
0000001E 01110001001110000110011000010011 71386613 4EE270CC
0000001C 00011101100011110011001111011001 E270CC27 CDEC799E
0000001D 00111011000111100110011110110010 C4E1984E CE6C799E
0000001E 01110110001111001100111101100011 89C3309D CEEC799E
0000001C 00010011100001100110000100111010 1386613A 4D9C3309
0000001D 00100111000011001100001001110101 270CC275 4E1C3309
0000001E 01001110000110011000010011101011 4E1984EB 4E9C3309
0000001E 01100011110011001111011000101010 9C3309D6 CEC799EC
0000001D 00111000011001100001001110101101 386613AD 4E61984E
0000001E 01110000110011000010011101011010 70CC275A 4EE1984E
0000001C 00011110011001111011000101001011 E1984EB5 CDF33D8A
0000001D 00111100110011110110001010010110 C3309D6A CE733D8A
0000001E 01111001100111101100010100101011 86613AD5 CEF33D8A
0000001B 00001100110000100111010110101011 0CC275AB 4D4C275A
0000001C 00011001100001001110101101010110 1984EB56 4DCC275A
0000001D 00110011000010011101011010101101 3309D6AD 4E4C275A
0000001E 01100110000100111010110101011011 6613AD5B 4ECC275A
0000001D 00110011110110001010010101001010 CC275AB6 CE4F6295
0000001E 01100111101100010100101010010011 984EB56D CECF6295
0000001D 00110000100111010110101011011010 309D6ADA 4E4275AB
0000001E 01100001001110101101010110110101 613AD5B5 4EC275AB
0000001D 00111101100010100101010010010110 C275AB6A CE762952
0000001E 01111011000101001010100100101011 84EB56D5 CEF62952
0000001B 00001001110101101010110110101011 09D6ADAB 4D1D6ADA
0000001C 00010011101011010101101101010110 13AD5B56 4D9D6ADA
0000001D 00100111010110101011011010101100 275AB6AC 4E1D6ADA
0000001E 01001110101101010110110101011000 4EB56D58 4E9D6ADA
0000001E 01100010100101010010010101001111 9D6ADAB1 CEC52A4A
0000001D 00111010110101011011010101100011 3AD5B563 4E6B56D5
0000001E 01110101101010110110101011000110 75AB6AC6 4EEB56D5
0000001C 00010100101010010010101001110100 EB56D58C CDA54953
0000001D 00101001010100100101010011100111 D6ADAB19 CE254953
0000001E 01010010101001001010100111001101 AD5B5633 CEA54953
0000001E 01011010101101101010110001100111 5AB6AC67 4EB56D58
0000001E 01001010100100101010011100110001 B56D58CF CE95254E
0000001E 01101010110110101011000110011110 6ADAB19E 4ED5B563
0000001D 00101010010010101001110011000011 D5B5633D CE292A73
0000001E 01010100100101010011100110000101 AB6AC67B CEA92A73
0000001E 01010110110101011000110011110110 56D58CF6 4EADAB19
0000001E 01010010010101001110011000010011 ADAB19ED CEA4A9CC
0000001E 01011011010101100011001111011011 5B5633DB 4EB6AC67
0000001E 01001001010100111001100001001010 B6AC67B6 CE92A730
0000001E 01101101010110001100111101101101 6D58CF6D 4EDAB19E
0000001D 00100101010011100110000100100101 DAB19EDB CE153984
0000001E 01001010100111001100001001001010 B5633DB6 CE953984
0000001E 01101010110001100111101101101101 6AC67B6D 4ED58CF6
0000001D 00101010011100110000100100100101 D58CF6DB CE29CC24
0000001E 01010100111001100001001001001001 AB19EDB7 CEA9CC24
0000001E 01010110001100111101101101101111 5633DB6F 4EAC67B6
0000001E 01010011100110000100100100100001 AC67B6DF CEA73092
0000001E 01011000110011110110110110111110 58CF6DBE 4EB19EDB
0000001E 01001110011000010010010010000011 B19EDB7D CE9CC249
0000001E 01100011001111011011011011111010 633DB6FA 4EC67B6D
0000001D 00111001100001001001001000001100 C67B6DF4 CE661248
0000001E 01110011000010010010010000011000 8CF6DBE8 CEE61248
0000001C 00011001111011011011011111010000 19EDB7D0 4DCF6DBE
0000001D 00110011110110110110111110100001 33DB6FA1 4E4F6DBE
0000001E 01100111101101101101111101000011 67B6DF43 4ECF6DBE
0000001D 00110000100100100100000101111001 CF6DBE87 CE424905
0000001E 01100001001001001000001011110010 9EDB7D0E CEC24905
0000001D 00111101101101101111101000011100 3DB6FA1C 4E76DBE8
0000001E 01111011011011011111010000111001 7B6DF439 4EF6DBE8
0000001B 00001001001001000001011110001110 F6DBE872 CD124178
0000001C 00010010010010000010111100011100 EDB7D0E4 CD924178
0000001D 00100100100100000101111000111000 DB6FA1C8 CE124178
0000001E 01001001001000001011110001110000 B6DF4390 CE924178
0000001E 01101101101111101000011100100001 6DBE8721 4EDB7D0E
0000001D 00100100100000101111000110111110 DB7D0E42 CE120BC6
0000001E 01001001000001011110001101111011 B6FA1C85 CE920BC6
0000001E 01101101111101000011100100001011 6DF4390B 4EDBE872
0000001D 00100100000101111000110111101001 DBE87217 CE105E37
0000001E 01001000001011110001101111010010 B7D0E42E CE905E37
0000001E 01101111101000011100100001011100 6FA1C85C 4EDF4390
0000001D 00100000101111000110111101000111 DF4390B9 CE02F1BD
0000001E 01000001011110001101111010001110 BE872172 CE82F1BD
0000001E 01111101000011100100001011100100 7D0E42E4 4EFA1C85
0000001A 00000101111000110111101000111000 FA1C85C8 CCBC6F47
0000001B 00001011110001101111010001101111 F4390B91 CD3C6F46
0000001C 00010111100011011110100011011101 E8721723 CDBC6F46
0000001D 00101111000110111101000110111010 D0E42E46 CE3C6F46
0000001E 01011110001101111010001101110011 A1C85C8D CEBC6F46
0000001E 01000011100100001011100100011010 4390B91A 4E872172
0000001E 01111000110111101000110111001011 87217235 CEF1BD1B
0000001B 00001110010000101110010001101011 0E42E46B 4D642E46
0000001C 00011100100001011100100011010110 1C85C8D6 4DE42E46
0000001D 00111001000010111001000110101101 390B91AD 4E642E46
0000001E 01110010000101110010001101011011 7217235B 4EE42E46
0000001C 00011011110100011011100101001010 E42E46B6 CDDE8DCA
0000001D 00110111101000110111001010010011 C85C8D6D CE5E8DCA
0000001E 01101111010001101110010100100110 90B91ADA CEDE8DCA
0000001D 00100001011100100011010110110101 217235B5 4E05C8D6
0000001E 01000010111001000110101101101010 42E46B6A 4E85C8D6
0000001E 01111010001101110010100100101100 85C8D6D4 CEF46E52
0000001B 00001011100100011010110110101001 0B91ADA9 4D391ADA
0000001C 00010111001000110101101101010011 17235B53 4DB91ADA
0000001D 00101110010001101011011010100111 2E46B6A7 4E391ADA
0000001E 01011100100011010110110101001110 5C8D6D4E 4EB91ADA
0000001E 01000110111001010010010101100011 B91ADA9D CE8DCA4A
0000001E 01110010001101011011010100111010 7235B53A 4EE46B6A
0000001C 00011011100101001001010110001100 E46B6A74 CDDCA4AC
0000001D 00110111001010010010101100011000 C8D6D4E8 CE5CA4AC
0000001E 01101110010100100101011000101111 91ADA9D1 CEDCA4AC
0000001D 00100011010110110101001110100011 235B53A3 4E0D6D4E
0000001E 01000110101101101010011101000110 46B6A746 4E8D6D4E
0000001E 01110010100100101011000101110100 8D6D4E8C CEE52562
0000001C 00011010110110101001110100011000 1ADA9D18 4DD6D4E8
0000001D 00110101101101010011101000110000 35B53A30 4E56D4E8
0000001E 01101011011010100111010001100001 6B6A7461 4ED6D4E8
0000001D 00101001001010110001011100111110 D6D4E8C2 CE24AC5C
0000001E 01010010010101100010111001111100 ADA9D184 CEA4AC5C
0000001E 01011011010100111010001100001000 5B53A308 4EB6A746
0000001E 01001001010110001011100111110000 B6A74610 CE92B173
0000001E 01101101010011101000110000100000 6D4E8C20 4EDA9D18
0000001D 00100101011000101110011111000000 DA9D1840 CE158B9F
0000001E 01001010110001011100111101111111 B53A3081 CE958B9E
0000001E 01101010011101000110000100000011 6A746103 4ED4E8C2
0000001D 00101011000101110011110111111001 D4E8C207 CE2C5CF7
0000001E 01010110001011100111101111110010 A9D1840E CEAC5CF7
0000001E 01010011101000110000100000011100 53A3081C 4EA74610
0000001E 01011000101110011110111111000111 A7461039 CEB173DF
0000001E 01001110100011000010000001110010 4E8C2072 4E9D1840
0000001E 01100010111001111011111100011011 9D1840E5 CEC5CF7E
0000001D 00111010001100001000000111001010 3A3081CA 4E68C207
0000001E 01110100011000010000001110010100 74610394 4EE8C207
0000001C 00010111001111011111100011010111 E8C20729 CDB9EFC6
0000001D 00101110011110111111000110101110 D1840E52 CE39EFC6
0000001E 01011100111101111110001101011100 A3081CA4 CEB9EFC6
0000001E 01000110000100000011100101001001 46103949 4E8C2072
0000001E 01110011110111111000110101101101 8C207293 CEE7BF1A
0000001C 00011000010000001110010100100110 1840E526 4DC20729
0000001D 00110000100000011100101001001101 3081CA4D 4E420729
0000001E 01100001000000111001010010011011 6103949B 4EC20729
0000001D 00111101111110001101011011001010 C2072936 CE77E35B
0000001E 01111011111100011010110110010100 840E526C CEF7E35B
0000001B 00001000000111001010010011011001 081CA4D9 4D01CA4D
0000001C 00010000001110010100100110110011 103949B3 4D81CA4D
0000001D 00100000011100101001001101100111 20729367 4E01CA4D
0000001E 01000000111001010010011011001111 40E526CF 4E81CA4D
0000001E 01111110001101011011001001100001 81CA4D9F CEFC6B64
00000019 00000011100101001001101100111111 03949B3F 4C6526CF
0000001A 00000111001010010011011001111110 0729367E 4CE526CF
0000001B 00001110010100100110110011111100 0E526CFC 4D6526CF
0000001C 00011100101001001101100111111000 1CA4D9F8 4DE526CF
0000001D 00111001010010011011001111110001 3949B3F1 4E6526CF
0000001E 01110010100100110110011111100011 729367E3 4EE526CF
0000001C 00011010110110010011000000111010 E526CFC6 CDD6C981
0000001D 00110101101100100110000001110011 CA4D9F8D CE56C981
0000001E 01101011011001001100000011100110 949B3F1A CED6C981
0000001D 00101001001101100111111000110100 29367E34 4E24D9F8
0000001E 01010010011011001111110001101001 526CFC69 4EA4D9F8
0000001E 01011011001001100000011100101110 A4D9F8D2 CEB64C0E
0000001E 01001001101100111111000110100100 49B3F1A4 4E9367E3
0000001E 01101100100110000001110010110111 9367E349 CED93039
0000001D 00100110110011111100011010010011 26CFC693 4E1B3F1A
0000001E 01001101100111111000110100100110 4D9F8D26 4E9B3F1A
0000001E 01100100110000001110010110110011 9B3F1A4D CEC981CB
0000001D 00110110011111100011010010011011 367E349B 4E59F8D2
0000001E 01101100111111000110100100110111 6CFC6937 4ED9F8D2
0000001D 00100110000001110010110110010001 D9F8D26F CE181CB6
0000001E 01001100000011100101101100100010 B3F1A4DE CE981CB6
0000001E 01100111111000110100100110111101 67E349BD 4ECFC693
0000001D 00110000001110010110110010000110 CFC6937A CE40E5B2
0000001E 01100000011100101101100100001100 9F8D26F4 CEC0E5B2
0000001D 00111111000110100100110111101001 3F1A4DE9 4E7C6937
0000001E 01111110001101001001101111010011 7E349BD3 4EFC6937
00000019 00000011100101101100100001011001 FC6937A7 CC65B216
0000001A 00000111001011011001000010110010 F8D26F4E CCE5B216
0000001B 00001110010110110010000101100100 F1A4DE9C CD65B216
0000001C 00011100101101100100001011001000 E349BD38 CDE5B216
0000001D 00111001011011001000010110001111 C6937A71 CE65B216
0000001E 01110010110110010000101100011110 8D26F4E2 CEE5B216
0000001C 00011010010011011110100111000101 1A4DE9C5 4DD26F4E
0000001D 00110100100110111101001110001011 349BD38B 4E526F4E
0000001E 01101001001101111010011100010110 6937A716 4ED26F4E
0000001D 00101101100100001011000111010100 D26F4E2C CE3642C7
0000001E 01011011001000010110001110101000 A4DE9C58 CEB642C7
0000001E 01001001101111010011100010110001 49BD38B1 4E937A71
0000001E 01101100100001011000111010011110 937A7162 CED90B1D
0000001D 00100110111101001110001011000101 26F4E2C5 4E1BD38B
0000001E 01001101111010011100010110001010 4DE9C58A 4E9BD38B
0000001E 01100100001011000111010011101100 9BD38B14 CEC858E9
0000001D 00110111101001110001011000101001 37A71629 4E5E9C58
0000001E 01101111010011100010110001010010 6F4E2C52 4EDE9C58
0000001D 00100001011000111010011101011011 DE9C58A5 CE058E9D
0000001E 01000010110001110100111010110110 BD38B14A CE858E9D
0000001E 01111010011100010110001010010101 7A716295 4EF4E2C5
0000001B 00001011000111010011101011010110 F4E2C52A CD31D3AD
0000001C 00010110001110100111010110101011 E9C58A55 CDB1D3AD
0000001D 00101100011101001110101101010110 D38B14AA CE31D3AD
0000001E 01011000111010011101011010101100 A7162954 CEB1D3AD
0000001E 01001110001011000101001010101001 4E2C52A9 4E9C58A5
0000001E 01100011101001110101101010101110 9C58A552 CEC74EB5
0000001D 00111000101100010100101010100100 38B14AA4 4E62C52A
0000001E 01110001011000101001010101001001 71629549 4EE2C52A
0000001C 00011101001110101101010101101110 E2C52A92 CDE9D6AB
0000001D 00111010011101011010101011011100 C58A5524 CE69D6AB
0000001E 01110100111010110101010110110111 8B14AA49 CEE9D6AB
0000001C 00010110001010010101010010010010 16295492 4DB14AA4
0000001D 00101100010100101010100100100100 2C52A924 4E314AA4
0000001E 01011000101001010101001001001000 58A55248 4EB14AA4
0000001E 01001110101101010101101101101111 B14AA491 CE9D6AB6
0000001E 01100010100101010100100100100010 62954922 4EC52A92
0000001D 00111010110101010110110110111011 C52A9245 CE6B55B6
0000001E 01110101101010101101101101110101 8A55248B CEEB55B6
0000001C 00010100101010100100100100010111 14AA4917 4DA55248
0000001D 00101001010101001001001000101111 2954922F 4E255248
0000001E 01010010101010010010010001011110 52A9245E 4EA55248
0000001E 01011010101011011011011101000100 A55248BC CEB55B6E
0000001E 01001010101001001001000101111001 4AA49179 4E954922
0000001E 01101010101101101101110100001110 954922F2 CED56DBA
0000001D 00101010100100100100010111100100 2A9245E4 4E2A4917
0000001E 01010101001001001000101111001000 55248BC8 4EAA4917
0000001E 01010101101101101110100001101111 AA491791 CEAB6DD0
0000001E 01010100100100100010111100100010 54922F22 4EA9245E
0000001E 01010110110110111010000110111011 A9245E45 CEADB743
0000001E 01010010010010001011110010001011 5248BC8B 4EA49179
0000001E 01011011011011101000011011101010 A4917916 CEB6DD0D
0000001E 01001001001000101111001000101100 4922F22C 4E9245E4
0000001E 01101101101110100001101110100111 9245E459 CEDB7437
0000001D 00100100100010111100100010110010 248BC8B2 4E122F22
0000001E 01001001000101111001000101100101 49179165 4E922F22
0000001E 01101101110100001101110100110101 922F22CB CEDBA1BA
0000001D 00100100010111100100010110010110 245E4596 4E117916
0000001E 01001000101111001000101100101101 48BC8B2D 4E917916
0000001E 01101110100001101110100110100110 9179165A CEDD0DD3
0000001D 00100010111100100010110010110101 22F22CB5 4E0BC8B2
0000001E 01000101111001000101100101101010 45E4596A 4E8BC8B2
0000001E 01110100001101110100110100101100 8BC8B2D4 CEE86E9A
0000001C 00010111100100010110010110101001 179165A9 4DBC8B2D
0000001D 00101111001000101100101101010011 2F22CB53 4E3C8B2D
0000001E 01011110010001011001011010100111 5E4596A7 4EBC8B2D
0000001E 01000011011101001101001010110010 BC8B2D4E CE86E9A5
0000001E 01111001000101100101101010011100 79165A9C 4EF22CB5
0000001B 00001101110100110100101011001000 F22CB538 CD5D34AC
0000001C 00011011101001101001010110010000 E4596A70 CDDD34AC
0000001D 00110111010011010010101100011111 C8B2D4E1 CE5D34AC
0000001E 01101110100110100101011000111101 9165A9C3 CEDD34AC
0000001D 00100010110010110101001110000110 22CB5386 4E0B2D4E
0000001E 01000101100101101010011100001101 4596A70D 4E8B2D4E
0000001E 01110100110100101011000111100101 8B2D4E1B CEE9A563
0000001C 00010110010110101001110000110110 165A9C36 4DB2D4E1
0000001D 00101100101101010011100001101101 2CB5386D 4E32D4E1
0000001E 01011001011010100111000011011010 596A70DA 4EB2D4E1
0000001E 01001101001010110001111001001100 B2D4E1B4 CE9A563C
0000001E 01100101101010011100001101101001 65A9C369 4ECB5386
0000001D 00110100101011000111100100101110 CB5386D2 CE52B1E4
0000001E 01101001010110001111001001011100 96A70DA4 CED2B1E4
0000001D 00101101010011100001101101001000 2D4E1B48 4E35386D
0000001E 01011010100111000011011010010000 5A9C3690 4EB5386D
0000001E 01001010110001111001001011100000 B5386D20 CE958F25
0000001E 01101010011100001101101001000000 6A70DA40 4ED4E1B4
0000001D 00101011000111100100101101111111 D4E1B481 CE2C792D
0000001E 01010110001111001001011011111101 A9C36903 CEAC792D
0000001E 01010011100001101101001000000111 5386D207 4EA70DA4
0000001E 01011000111100100101101111110010 A70DA40E CEB1E4B7
0000001E 01001110000110110100100000011100 4E1B481C 4E9C3690
0000001E 01100011110010010110111111001000 9C369038 CEC792DF
0000001D 00111000011011010010000001110000 386D2070 4E61B481
0000001E 01110000110110100100000011100001 70DA40E1 4EE1B481
0000001C 00011110010010110111111000111101 E1B481C3 CDF25BF1
0000001D 00111100100101101111110001111010 C3690386 CE725BF1
0000001E 01111001001011011111100011110011 86D2070D CEF25BF1
0000001B 00001101101001000000111000011010 0DA40E1A 4D5A40E1
0000001C 00011011010010000001110000110100 1B481C34 4DDA40E1
0000001D 00110110100100000011100001101000 36903868 4E5A40E1
0000001E 01101101001000000111000011010000 6D2070D0 4EDA40E1
0000001D 00100101101111110001111001011111 DA40E1A1 CE16FC79
0000001E 01001011011111100011110010111110 B481C342 CE96FC79
0000001E 01101001000000111000011010000100 69038684 4ED2070D
0000001D 00101101111110001111001011111000 D2070D08 CE37E3CB
0000001E 01011011111100011110010111101111 A40E1A11 CEB7E3CB
0000001E 01001000000111000011010000100010 481C3422 4E903868
0000001E 01101111110001111001011110111011 90386845 CEDF8F2F
0000001D 00100000011100001101000010001011 2070D08B 4E01C342
0000001E 01000000111000011010000100010111 40E1A117 4E81C342
0000001E 01111110001111001011110111010001 81C3422F CEFC797B
00000019 00000011100001101000010001011111 0386845F 4C61A117
0000001A 00000111000011010000100010111110 070D08BE 4CE1A117
0000001B 00001110000110100001000101111101 0E1A117D 4D61A117
0000001C 00011100001101000010001011111011 1C3422FB 4DE1A117
0000001D 00111000011010000100010111110111 386845F7 4E61A117
0000001E 01110000110100001000101111101111 70D08BEF 4EE1A117
0000001C 00011110010111101110100000100010 E1A117DE CDF2F741
0000001D 00111100101111011101000001000011 C3422FBD CE72F741
0000001E 01111001011110111010000010000110 86845F7A CEF2F741
0000001B 00001101000010001011111011110100 0D08BEF4 4D508BEF
0000001C 00011010000100010111110111101000 1A117DE8 4DD08BEF
0000001D 00110100001000101111101111010000 3422FBD0 4E508BEF
0000001E 01101000010001011111011110100001 6845F7A1 4ED08BEF
0000001D 00101111011101000001000010111101 D08BEF43 CE3DD042
0000001E 01011110111010000010000101111001 A117DE87 CEBDD042
0000001E 01000010001011111011110100001111 422FBD0F 4E845F7A
0000001E 01111011101000001000010111100001 845F7A1F CEF7410B
0000001B 00001000101111101111010000111111 08BEF43F 4D0BEF43
0000001C 00010001011111011110100001111111 117DE87F 4D8BEF43
0000001D 00100010111110111101000011111111 22FBD0FF 4E0BEF43
0000001E 01000101111101111010000111111111 45F7A1FF 4E8BEF43
0000001E 01110100000100001011110000000001 8BEF43FF CEE82178
0000001C 00010111110111101000011111111110 17DE87FE 4DBEF43F
0000001D 00101111101111010000111111111101 2FBD0FFD 4E3EF43F
0000001E 01011111011110100001111111111010 5F7A1FFA 4EBEF43F
0000001E 01000001000010111100000000001100 BEF43FF4 CE821780
0000001E 01111101111010000111111111101000 7DE87FE8 4EFBD0FF
0000001A 00000100001011110000000000101111 FBD0FFD1 CC85E005
0000001B 00001000010111100000000001011110 F7A1FFA2 CD05E005
0000001C 00010000101111000000000010111011 EF43FF45 CD85E005
0000001D 00100001011110000000000101110110 DE87FE8A CE05E005
0000001E 01000010111100000000001011101100 BD0FFD14 CE85E005
0000001E 01111010000111111111101000101001 7A1FFA29 4EF43FF4
0000001B 00001011110000000000101110101101 F43FF453 CD3C00BA
0000001C 00010111100000000001011101011010 E87FE8A6 CDBC00BA
0000001D 00101111000000000010111010110011 D0FFD14D CE3C00BA
0000001E 01011110000000000101110101100101 A1FFA29B CEBC00BA
0000001E 01000011111111110100010100110110 43FF4536 4E87FE8A
0000001E 01111000000000010111010110010100 87FE8A6C CEF002EB
0000001B 00001111111111010001010011011000 0FFD14D8 4D7FD14D
0000001C 00011111111110100010100110110001 1FFA29B1 4DFFD14D
0000001D 00111111111101000101001101100010 3FF45362 4E7FD14D
0000001E 01111111111010001010011011000100 7FE8A6C4 4EFFD14D
00000015 00000000001011101011001001110111 FFD14D89 CA3AC9DC
00000016 00000000010111010110010011101110 FFA29B12 CABAC9DC
00000017 00000000101110101100100111011011 FF453625 CB3AC9DB
00000018 00000001011101011001001110110110 FE8A6C4A CBBAC9DB
00000019 00000010111010110010011101101100 FD14D894 CC3AC9DB
0000001A 00000101110101100100111011010111 FA29B129 CCBAC9DA
0000001B 00001011101011001001110110101101 F4536253 CD3AC9DA
0000001C 00010111010110010011101101011001 E8A6C4A7 CDBAC9DA
0000001D 00101110101100100111011010110010 D14D894E CE3AC9DA
0000001E 01011101011001001110110101100100 A29B129C CEBAC9DA
0000001E 01000101001101100010010100111001 45362539 4E8A6C4A
0000001E 01110101100100111011010110001110 8A6C4A72 CEEB276B
0000001C 00010100110110001001010011100101 14D894E5 4DA6C4A7
0000001D 00101001101100010010100111001011 29B129CB 4E26C4A7
0000001E 01010011011000100101001110010111 53625397 4EA6C4A7
0000001E 01011001001110110101100011010001 A6C4A72F CEB276B1
0000001E 01001101100010010100111001011111 4D894E5F 4E9B129C
0000001E 01100100111011010110001101000010 9B129CBE CEC9DAC6
0000001D 00110110001001010011100101111100 3625397C 4E5894E5
0000001E 01101100010010100111001011111001 6C4A72F9 4ED894E5
0000001D 00100111011010110001101000001101 D894E5F3 CE1DAC68
0000001E 01001110110101100011010000011001 B129CBE7 CE9DAC68
0000001E 01100010010100111001011111001110 625397CE 4EC4A72F
0000001D 00111011010110001101000001100011 C4A72F9D CE6D6341
0000001E 01110110101100011010000011000101 894E5F3B CEED6341
0000001C 00010010100111001011111001110111 129CBE77 4D94E5F3
0000001D 00100101001110010111110011101110 25397CEE 4E14E5F3
0000001E 01001010011100101111100111011100 4A72F9DC 4E94E5F3
0000001E 01101011000110100000110001000111 94E5F3B9 CED63418
0000001D 00101001110010111110011101110011 29CBE773 4E272F9D
0000001E 01010011100101111100111011100110 5397CEE6 4EA72F9D
0000001E 01011000110100000110001000110011 A72F9DCD CEB1A0C4
0000001E 01001110010111110011101110011011 4E5F3B9B 4E9CBE77
0000001E 01100011010000011000100011001010 9CBE7736 CEC68311
0000001D 00111001011111001110111001101101 397CEE6D 4E65F3B9
0000001E 01110010111110011101110011011010 72F9DCDA 4EE5F3B9
0000001C 00011010000011000100011001001100 E5F3B9B4 CDD06232
0000001D 00110100000110001000110010011000 CBE77368 CE506232
0000001E 01101000001100010001100100110000 97CEE6D0 CED06232
0000001D 00101111100111011100110110100001 2F9DCDA1 4E3E7736
0000001E 01011111001110111001101101000011 5F3B9B43 4EBE7736
0000001E 01000001100010001100100101111001 BE773687 CE831192
0000001E 01111100111011100110110100001110 7CEE6D0E 4EF9DCDA
0000001A 00000110001000110010010111100100 F9DCDA1C CCC464BC
0000001B 00001100010001100100101111000111 F3B9B439 CD4464BC
0000001C 00011000100011001001011110001101 E7736873 CDC464BC
0000001D 00110001000110010010111100011010 CEE6D0E6 CE4464BC
0000001E 01100010001100100101111000110011 9DCDA1CD CEC464BC
0000001D 00111011100110110100001110011010 3B9B439A 4E6E6D0E
0000001E 01110111001101101000011100110101 77368735 4EEE6D0E
0000001C 00010001100100101111000110010110 EE6D0E6A CD8C978C
0000001D 00100011001001011110001100101011 DCDA1CD5 CE0C978C
0000001E 01000110010010111100011001010110 B9B439AA CE8C978C
0000001E 01110011011010000111001101010101 73687355 4EE6D0E6
0000001C 00011001001011110001100101010110 E6D0E6AA CDC978CA
0000001D 00110010010111100011001010101100 CDA1CD54 CE4978CA
0000001E 01100100101111000110010101011000 9B439AA8 CEC978CA
0000001D 00110110100001110011010101010001 36873551 4E5A1CD5
0000001E 01101101000011100110101010100011 6D0E6AA3 4EDA1CD5
0000001D 00100101111000110010101010111010 DA1CD546 CE178CAA
0000001E 01001011110001100101010101110100 B439AA8C CE978CAA
0000001E 01101000011100110101010100011000 68735518 4ED0E6AA
0000001D 00101111000110010101010111001111 D0E6AA31 CE3C6557
0000001E 01011110001100101010101110011101 A1CD5463 CEBC6557
0000001E 01000011100110101010100011000111 439AA8C7 4E873551
0000001E 01111000110010101010111001110010 8735518E CEF1955C
0000001B 00001110011010101010001100011101 0E6AA31D 4D66AA31
0000001C 00011100110101010100011000111010 1CD5463A 4DE6AA31
0000001D 00111001101010101000110001110101 39AA8C75 4E66AA31
0000001E 01110011010101010001100011101010 735518EA 4EE6AA31
0000001C 00011001010101011100111000101011 E6AA31D5 CDCAAE71
