00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
0000001D 00111010011000110111000011010001 C59C8F2F CE698DC3
0000001E 01110100110001101110000110100001 8B391E5F CEE98DC3
0000001C 00010110011100100011110010111110 16723CBE 4DB391E5
0000001D 00101100111001000111100101111100 2CE4797C 4E3391E5
0000001E 01011001110010001111001011111001 59C8F2F9 4EB391E5
0000001E 01001100011011100001101000001101 B391E5F3 CE98DC34
0000001E 01100111001000111100101111100111 6723CBE7 4ECE4797
0000001D 00110001101110000110100000110001 CE4797CF CE46E1A0
0000001E 01100011011100001101000001100001 9C8F2F9F CEC6E1A0
0000001D 00111001000111100101111100111111 391E5F3F 4E64797C
0000001E 01110010001111001011111001111110 723CBE7E 4EE4797C
0000001C 00011011100001101000001100000100 E4797CFC CDDC3418
0000001D 00110111000011010000011000001000 C8F2F9F8 CE5C3418
0000001E 01101110000110100000110000010000 91E5F3F0 CEDC3418
0000001D 00100011110010111110011111100000 23CBE7E0 4E0F2F9F
0000001E 01000111100101111100111111000000 4797CFC0 4E8F2F9F
0000001E 01110000110100000110000010000000 8F2F9F80 CEE1A0C1
0000001C 00011110010111110011111100000000 1E5F3F00 4DF2F9F8
0000001D 00111100101111100111111000000000 3CBE7E00 4E72F9F8
0000001E 01111001011111001111110000000001 797CFC01 4EF2F9F8
0000001B 00001101000001100000011111111110 F2F9F802 CD50607F
0000001C 00011010000011000000111111111011 E5F3F005 CDD0607F
0000001D 00110100000110000001111111110101 CBE7E00B CE50607F
0000001E 01101000001100000011111111101010 97CFC016 CED0607F
0000001D 00101111100111111000000000101100 2F9F802C 4E3E7E00
0000001E 01011111001111110000000001011000 5F3F0058 4EBE7E00
0000001E 01000001100000011111111101001111 BE7E00B1 CE8303FE
0000001E 01111100111111000000000101100011 7CFC0163 4EF9F802
0000001A 00000110000001111111110100111001 F9F802C7 CCC0FFA7
0000001B 00001100000011111111101001110010 F3F0058E CD40FFA7
0000001C 00011000000111111111010011100011 E7E00B1D CDC0FFA7
0000001D 00110000001111111110100111000101 CFC0163B CE40FFA7
0000001E 01100000011111111101001110001001 9F802C77 CEC0FFA7
0000001D 00111111000000000101100011101111 3F0058EF 4E7C0163
0000001E 01111110000000001011000111011110 7E00B1DE 4EFC0163
